date,permno,pred_surprise
2010-01-29,10104,0.010672066491772549
2010-01-29,10107,0.015960262767215825
2010-01-29,10137,-0.040724773936509154
2010-01-29,10138,0.01182918972749197
2010-01-29,10143,-0.014790592575534339
2010-01-29,10145,-0.01469261954039758
2010-01-29,10147,0.023886012174732615
2010-01-29,10182,0.06398467004918866
2010-01-29,10225,-0.0018505007241518979
2010-01-29,10299,0.024134356559004103
2010-01-29,10302,0.03341258003780327
2010-01-29,10324,-0.02662247351849903
2010-01-29,10375,-0.050483092476696315
2010-01-29,10516,-0.01128628773951479
2010-01-29,10693,0.04935272489018112
2010-01-29,10696,0.016341328502318536
2010-01-29,10909,0.06231955642850747
2010-01-29,10933,-0.014674584771284012
2010-01-29,11081,-0.004304058143035876
2010-01-29,11308,0.004622911586429308
2010-01-29,11404,-0.005205585447254782
2010-01-29,11552,0.017414825068884213
2010-01-29,11600,0.002716148673518331
2010-01-29,11618,0.00347896049069337
2010-01-29,11644,-0.006287826080930413
2010-01-29,11674,0.0024770851938641196
2010-01-29,11703,-0.00450931977909488
2010-01-29,11762,-0.020790187055978654
2010-01-29,11786,0.014596942278967878
2010-01-29,11850,-0.026451911680742533
2010-01-29,11891,-0.02802878841963302
2010-01-29,11896,0.021480687083485932
2010-01-29,11955,-0.007849750443195374
2010-01-29,11976,0.03118518943953981
2010-01-29,12052,0.017400843685547843
2010-01-29,12060,-0.037146409544714334
2010-01-29,12062,0.00641570625165645
2010-01-29,12067,0.033968556211890905
2010-01-29,12073,-0.03278841036902151
2010-01-29,12074,0.05527416477363425
2010-01-29,12140,0.030623250408480997
2010-01-29,12490,0.03985471094660099
2010-01-29,12503,-0.013689178587064895
2010-01-29,12570,-0.0129748941048461
2010-01-29,12650,0.021152619108301976
2010-01-29,13688,0.008213713142013829
2010-01-29,13856,0.00683384737736022
2010-01-29,13901,0.010000675498758682
2010-01-29,13928,-0.022521087096420443
2010-01-29,13936,0.031084427352585327
2010-01-29,14008,-0.001710773277510562
2010-01-29,14541,-0.009245025959822616
2010-01-29,14593,0.09087765743533927
2010-01-29,14656,-0.030246225424333986
2010-01-29,14702,0.0014663769403204137
2010-01-29,14795,-0.021504163794231868
2010-01-29,15069,-0.02031321980149335
2010-01-29,15202,-0.02910462933964634
2010-01-29,15456,-0.006480757203952811
2010-01-29,15553,-0.0017003485150118552
2010-01-29,15560,0.02545488808626957
2010-01-29,15579,0.019483475305831905
2010-01-29,15720,-0.02941527560473265
2010-01-29,15721,0.038292598828342725
2010-01-29,16432,-0.004149619116500946
2010-01-29,16548,-0.017766260496296968
2010-01-29,16600,-0.008199377145158221
2010-01-29,16678,-0.03224678676427556
2010-01-29,17005,-0.019474459242895037
2010-01-29,17144,0.016398625582493928
2010-01-29,17279,0.029549351236274495
2010-01-29,17478,-0.002756544570921121
2010-01-29,17726,0.010223413055230722
2010-01-29,17743,-0.01585615931744841
2010-01-29,17750,0.019677100378324184
2010-01-29,17778,-0.002855996870093712
2010-01-29,17830,0.01646389289296083
2010-01-29,17929,-0.02823559187608573
2010-01-29,18163,-0.006038592276535229
2010-01-29,18403,-0.018267141117984928
2010-01-29,18411,-0.012727895432284446
2010-01-29,18542,-0.01533788690387341
2010-01-29,18729,0.016018855611014807
2010-01-29,19166,-0.0013756424905322032
2010-01-29,19350,0.003223976187868405
2010-01-29,19393,0.002514941175038499
2010-01-29,19502,0.021894274922918684
2010-01-29,19561,0.007255682945070095
2010-01-29,19675,0.023989087077576146
2010-01-29,19828,-0.018948582633044518
2010-01-29,20204,0.005666651521374641
2010-01-29,20482,0.007737409733004626
2010-01-29,20626,0.007197925339904231
2010-01-29,21020,0.00875710295204446
2010-01-29,21178,-0.02320514260563973
2010-01-29,21186,0.02161328728791881
2010-01-29,21207,0.021036523702819915
2010-01-29,21231,-0.01648650272076923
2010-01-29,21371,-0.000507236979565449
2010-01-29,21573,0.05393771196380606
2010-01-29,21776,-0.021177222818709734
2010-01-29,21792,-0.031852747649146945
2010-01-29,21936,-0.015884844987230043
2010-01-29,22103,-0.011828811816032096
2010-01-29,22111,0.012023145384334738
2010-01-29,22293,0.02359415857069784
2010-01-29,22509,0.005813313168209797
2010-01-29,22517,-0.03280422969445444
2010-01-29,22592,0.04375903912778015
2010-01-29,22752,0.011662694959459534
2010-01-29,22779,0.0014566933992782981
2010-01-29,22840,-0.025943324885111432
2010-01-29,22859,-0.0034495975219001936
2010-01-29,23026,-0.008117825753605623
2010-01-29,23077,0.005442833368234846
2010-01-29,23085,-0.00810175359422949
2010-01-29,23114,-0.004381129008622376
2010-01-29,23229,0.019463356144431773
2010-01-29,23393,0.0008590201360067669
2010-01-29,23473,-0.035254769955620366
2010-01-29,23501,-0.044558669910103
2010-01-29,23536,0.00435906241306759
2010-01-29,23579,-0.01645531001072919
2010-01-29,23660,-0.025748864152500557
2010-01-29,23712,-0.0059267598896719075
2010-01-29,23819,0.026949099481636526
2010-01-29,23835,-0.009940704449608014
2010-01-29,23887,-0.041678032080856686
2010-01-29,23916,-0.02180984891643794
2010-01-29,23931,-0.00406254703506234
2010-01-29,24010,-0.014744520930757952
2010-01-29,24053,-0.007304220613121687
2010-01-29,24109,-0.0010342447700427485
2010-01-29,24205,-0.0009927983168099997
2010-01-29,24221,0.012883449825459548
2010-01-29,24272,0.050012200552152004
2010-01-29,24328,0.0035234475216357622
2010-01-29,24432,0.0018740579437961109
2010-01-29,24440,0.014627905924048279
2010-01-29,24459,-0.04408188422310408
