0
seas_1_1na
saleq_gr1
ret_12_1
prc_highprc_252d
div12m_me
niq_be_chg1
betabab_1260d
ret_1_0
ret_6_1
turnover_var_126d
prc
tangibility
niq_be
dgp_dsale
ni_inc8q
ni_ivol
beta_dimson_21d
qmj_growth
cop_atl1
