yyyymm,dp,ep,bm,ntis,svar,dfy,tms,tbl
200209,-3.9435972312791616,-3.3010140512739397,0.3245551555,0.029299294,0.0073661128,0.012499999999999997,0.031700000000000006,0.0163
200210,-4.020712001107434,-3.4114796972585015,0.2934370638,0.0256709389,0.0115896355,0.014099999999999988,0.034999999999999996,0.0158
200211,-4.070464758331704,-3.4953215853888735,0.2769754993,0.0229075947,0.0044490751,0.0131,0.0398,0.0123
200212,-4.002514281304906,-3.462263952866238,0.2953858956,0.0257359781,0.002639538,0.012399999999999994,0.0365,0.0119
200301,-3.97161100216909,-3.4020157601494043,0.3059423072,0.0282889533,0.0051675744,0.011799999999999998,0.0378,0.0117
200302,-3.951364988491539,-3.353435250599266,0.3122513206,0.0279187074,0.0025641197,0.011099999999999999,0.0355,0.0117
200303,-3.956601250009226,-3.3312853166438274,0.2861177008,0.024098597,0.0061361179,0.010600000000000005,0.0373,0.0113
200304,-4.03574358833124,-3.3637576218523715,0.2696540306,0.0199668817,0.0030648098,0.011100000000000006,0.0368,0.0113
200305,-4.08659954141153,-3.3699248809383464,0.2583755061,0.006448109,0.0022283195,0.011599999999999992,0.0329,0.0107
200306,-4.099086369390221,-3.339527230353939,0.2544883373,0.0012618871,0.0019977007,0.012199999999999996,0.036,0.0092
200307,-4.106527817090342,-3.317467376876076,0.2476433348,0.0002715756,0.0020460156,0.011299999999999998,0.0452,0.009
200308,-4.115669324352394,-3.298438535127772,0.2428560733,0.0029170133,0.0009660564,0.011299999999999998,0.043699999999999996,0.0095
200309,-4.095158170620028,-3.250983129171457,0.2465417826,0.0073234063,0.0018690885,0.010700000000000001,0.0396,0.0094
200310,-4.13273425911437,-3.2203449584509345,0.2333089667,0.0072114229,0.0014076127,0.010299999999999997,0.0426,0.0092
200311,-4.124153197219051,-3.1498416891913625,0.2337541521,0.0100007905,0.0009196631,0.010100000000000005,0.0426,0.0093
200312,-4.158235764316677,-3.127343481579442,0.2187398648,0.0069463114,0.0008937,0.009800000000000003,0.0421,0.009
200401,-4.163187152816102,-3.1224214271047033,0.218027721,0.0068865017,0.0009787934,0.009000000000000001,0.0411,0.0088
200402,-4.163291268911948,-3.1129833267840272,0.2160532204,0.0093613188,0.0006107509,0.0077000000000000055,0.03900000000000001,0.0093
200403,-4.134909089068664,-3.0753695736171793,0.2817314655,0.0122820386,0.0019812495,0.007800000000000001,0.038,0.0094
200404,-4.107341142925132,-3.032181935731811,0.2853718668,0.0137662822,0.0012309377,0.007300000000000008,0.0437,0.0094
200405,-4.108834951201214,-3.018608577891972,0.2864115739,0.0163300825,0.0009776153,0.007100000000000002,0.0437,0.0102
200406,-4.116251010338664,-3.011493430974487,0.279631603,0.0144914264,0.0007707704,0.0076999999999999985,0.040499999999999994,0.0127
200407,-4.071356281732223,-2.9670300456073972,0.2877883095,0.0147206722,0.0007770943,0.007999999999999993,0.039,0.0133
200408,-4.063737571700008,-2.9598343580943123,0.2868206158,0.0142787015,0.001442852,0.008100000000000003,0.034499999999999996,0.0148
200409,-4.063251594831171,-2.9597633215243553,0.2894853015,0.009132246,0.0007056832,0.008100000000000003,0.0323,0.0165
200410,-4.072327186714972,-2.9691897689932265,0.2910095966,0.0074288575,0.0012304685,0.007400000000000004,0.0302,0.0176
200411,-4.105377928103084,-3.0025881145994173,0.2798316459,0.0121769069,0.0008574256,0.0068000000000000005,0.029500000000000002,0.0207
200412,-4.132525483451191,-3.0300800678063426,0.2706192427,0.0130015114,0.0007278502,0.0068000000000000005,0.0265,0.0219
200501,-4.093574501467721,-2.9950011247207913,0.2781798561,0.0135454943,0.0008214051,0.006599999999999995,0.0232,0.0233
200502,-4.0991416931485265,-3.0043552537561764,0.2710410236,0.0117584103,0.0008344437,0.006200000000000004,0.0225,0.0254
200503,-4.066850129556806,-2.9757650694477737,0.3198568893,0.0090972273,0.0008598946,0.006600000000000002,0.021400000000000002,0.0274
200504,-4.0350674050363455,-2.9387649139666827,0.3296244007,0.0079355635,0.0018258937,0.007199999999999998,0.018300000000000004,0.0278
200505,-4.053235642859484,-2.9518627746473616,0.3209655046,0.0047766145,0.000859416,0.008600000000000003,0.015599999999999996,0.0284
200506,-4.041880992686359,-2.9355723911843956,0.3269790569,0.0053656583,0.0005421187,0.009000000000000001,0.0132,0.0297
200507,-4.0685573219081475,-2.9541359755037195,0.3157342746,0.0044800773,0.0006499082,0.008899999999999998,0.013400000000000002,0.0322
200508,-4.048686085560667,-2.9263543344911156,0.3205331247,0.0054049383,0.0006967234,0.0087,0.008800000000000002,0.0344
200509,-4.047098312956557,-2.917050782327637,0.3178915098,0.0067164137,0.0006599007,0.009000000000000001,0.012199999999999996,0.0342
200510,-4.017700239881922,-2.882441462955091,0.3218081871,0.0057493078,0.0018179863,0.009500000000000001,0.011299999999999998,0.0371
200511,-4.0409095510392135,-2.9005879947013575,0.3109143456,0.0057679709,0.0005398989,0.0097,0.009299999999999996,0.0388
200512,-4.028717143725602,-2.8834661768721572,0.3134779566,0.0030588819,0.0004329976,0.009500000000000008,0.007200000000000005,0.0389
200601,-4.045380316943824,-2.89514800447013,0.3092262579,-0.0004457373,0.0009754252,0.009499999999999995,0.0049999999999999975,0.0424
200602,-4.0374154835234055,-2.882315189076432,0.3056103611,0.002038331,0.0006485364,0.009200000000000007,0.0013999999999999985,0.0443
200603,-4.040107047764665,-2.8802369383656856,0.3160094407,0.0021519975,0.0005452508,0.008800000000000002,0.005600000000000001,0.0451
200604,-4.042679830428181,-2.884005270068596,0.3088419778,-0.0034725176,0.0005998073,0.008399999999999998,0.007199999999999998,0.046
200605,-4.0018592136936455,-2.8443562217223732,0.3143403075,-0.0026567367,0.0013551637,0.008000000000000007,0.0063,0.0472
200606,-3.9926136771991367,-2.836264759180689,0.3148502899,-0.0021954849,0.0021028157,0.008899999999999998,0.005200000000000003,0.0479
200607,-3.9883561986469678,-2.8232448657662914,0.3138521753,-0.0023631203,0.0014516632,0.00909999999999999,0.0022999999999999965,0.0495
200608,-4.000167361002613,-2.8265247138281007,0.3084617987,-0.0084739858,0.0004692515,0.009099999999999997,0.0,0.0496
200609,-4.015277220726645,-2.8333331251563987,0.3005932835,-0.0094934911,0.0005133952,0.009199999999999993,0.00030000000000000165,0.0481
200610,-4.035455834017739,-2.8519591544775595,0.2905991608,-0.0089347353,0.0004505882,0.00909999999999999,-0.0011000000000000038,0.0492
200611,-4.041065492421904,-2.8560476285762615,0.2872418677,-0.0151110293,0.0005921951,0.0087,-0.002700000000000001,0.0494
200612,-4.042989223647789,-2.8564885381941956,0.2816823997,-0.0150367765,0.0003575308,0.009000000000000001,0.0005999999999999964,0.0485
200701,-4.048813680832068,-2.8637649510968846,0.2781442105,-0.0139866635,0.0004504838,0.009399999999999999,0.0004000000000000045,0.0498
200702,-4.018650377937403,-2.83503748585796,0.2861484942,-0.015141022,0.0014768552,0.008899999999999991,-0.002599999999999998,0.0503
200703,-4.020574470715256,-2.838371395437049,0.2690500135,-0.0124863558,0.0015875259,0.009700000000000007,-0.00010000000000000286,0.0494
200704,-4.054155754488722,-2.8736782883805683,0.2544561689,-0.0089119008,0.0005821462,0.0092,0.0001999999999999988,0.0487
200705,-4.077460811230365,-2.8986845584045717,0.2439114941,-0.0102831188,0.0006965734,0.0092,0.003699999999999995,0.0473
200706,-4.050837513699607,-2.873733350388295,0.24789561,-0.0110640045,0.0014724362,0.009100000000000004,0.005999999999999998,0.0461
200707,-4.00809518980528,-2.866348392651859,0.2515849644,-0.0152618531,0.0024262615,0.009200000000000007,0.001899999999999999,0.0482
200708,-4.010738933438122,-2.904898019748221,0.2488398512,-0.0121975371,0.0051339638,0.008600000000000003,0.006699999999999998,0.042
200709,-4.0358748530557556,-2.9665159668553223,0.2392074367,-0.0130150051,0.0018684768,0.0085,0.010000000000000002,0.0389
200710,-4.041316530477587,-3.035338660470889,0.2386170601,-0.0179548024,0.0016828778,0.008199999999999999,0.009000000000000001,0.039
200711,-3.9870834004214966,-3.0475011327014174,0.2485796916,-0.0251586013,0.005636836,0.009600000000000004,0.011799999999999998,0.0327
200712,-3.9693144296374907,-3.099512531066547,0.2505829731,-0.0406372938,0.0023453304,0.011600000000000006,0.015,0.03
200801,-3.899372592549001,-3.0659948824578436,0.2627544223,-0.0431780959,0.0048317857,0.0121,0.0161,0.0275
200802,-3.8572112618286343,-3.0611141594247995,0.270979321,-0.0496071341,0.0032256417,0.012899999999999995,0.0226,0.0212
200803,-3.8444979075018217,-3.0865952614563037,0.2540575672,-0.0518304619,0.0063376728,0.0138,0.030600000000000002,0.0126
200804,-3.886130427068993,-3.184119287166066,0.2430146964,-0.0488436791,0.0029037295,0.014199999999999997,0.0329,0.0129
